Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
CAT 777E,84.8,Waste,11.6,6.4,10,3.1,848
CAT 785C,135.15,Low Grade,14.5,3.5,2,3.2,270.3
CAT 777E,84.8,Waste,15.2,2.8,6,3.2,508.8
CAT 777F,84.8,Waste,12.5,5.5,6,3.4,508.8
CAT 777E,84.8,Waste,13.7,4.3,15,3.4,1272
CAT 777E,84.8,Waste,12.5,5.5,24,3.5,2035.2
CAT 777E,84.8,Waste,14.9,3.1,19,3.6,1611.2
CAT 785C,135.15,Waste,14.3,3.7,1,3.7,135.15
CAT 785C,135.15,Waste,16,2,14,3.7,1892.1
CAT 777E,84.8,Waste,12.9,5.1,19,3.7,1611.2
CAT 777F,84.8,Waste,9.4,8.6,17,3.8,1441.6
CAT 777F,84.8,Low Grade,13.2,4.8,2,3.9,169.6
CAT 785C,135.15,Waste,11.5,6.5,5,3.9,675.75
CAT 777E,84.8,Waste,12.6,5.4,8,3.9,678.4
CAT 777E,84.8,Waste,9.9,8.1,1,4,84.8
CAT 777E,84.8,Waste,15.2,2.8,6,4,508.8
CAT 785C,135.15,Waste,12.9,5.1,11,4,1486.65
CAT 777F,84.8,Waste,12.6,5.4,21,4,1780.8
CAT 777F,84.8,Waste,11,7,5,4.1,424
CAT 777E,84.8,Waste,15.1,2.9,9,4.6,763.2
CAT 785C,135.15,Waste,15.6,2.4,18,5.4,2432.7
CAT 777E,84.8,Waste,14.2,3.8,1,5.6,84.8
CAT 777E,84.8,Waste,12.5,5.5,2,5.9,169.6
CAT 785C,135.15,Waste,14.1,3.9,1,7.8,135.15
CAT 785C,135.15,Waste,12.4,5.6,1,8,135.15
CAT 777E,84.8,High Grade,14,4,2,1.4,169.6
CAT 777E,84.8,Waste,15.9,2.1,14,2.9,1187.2
CAT 785C,135.15,Waste,12.1,5.9,5,3.8,675.75
CAT 777F,84.8,Low Grade,12.7,5.4,5,1.1,424
CAT 777F,84.8,High Grade,15,3.1,6,1.1,508.8
CAT 777F,84.8,High Grade,9.5,8.6,2,1.5,169.6
CAT 777F,84.8,Waste,13.7,4.4,3,1.7,254.4
CAT 777E,84.8,High Grade,11.5,6.6,6,1.8,508.8
CAT 785C,135.15,High Grade,15.3,2.8,3,1.9,405.45
CAT 777F,84.8,Low Grade,11.5,6.6,4,1.9,339.2
CAT 777F,84.8,Low Grade,14.4,3.7,7,2.1,593.6
CAT 777F,84.8,Waste,11.3,6.8,10,2.3,848
CAT 777F,84.8,Low Grade,12.5,5.6,4,2.4,339.2
CAT 777E,84.8,Waste,14.1,4,14,2.4,1187.2
CAT 777E,84.8,High Grade,16.8,1.3,7,2.5,593.6
CAT 777F,84.8,Waste,12.4,5.7,15,2.5,1272
CAT 777F,84.8,Waste,12.4,5.7,10,3,848
